denominazione_struttura,tipologia,nome_area
CENTRO VACCINALE DI MIRANDOLA PRESSO CENTRO PRELIEVI,STS,Emilia-Romagna
CENTRO VACCINALE DI MIRANDOLA PRESSO COMUNE,STS,Emilia-Romagna
CENTRO VACCINALE DI MODENA PRESSO HANGAR 3 CASERMA SETTI,STS,Emilia-Romagna
CENTRO VACCINALE DI MONTEFIORINO,STS,Emilia-Romagna
CENTRO VACCINALE DI MONTESE,STS,Emilia-Romagna
CENTRO VACCINALE DI PALAGANO,STS,Emilia-Romagna
CENTRO VACCINALE DI PAVULLO PRESSO CENTRO LA CAMPANELLA,STS,Emilia-Romagna
CENTRO VACCINALE DI POLINAGO,STS,Emilia-Romagna
CENTRO VACCINALE DI PRIGNANO SULLA SECCHIA,STS,Emilia-Romagna
CENTRO VACCINALE DI SAN FELICE SUL PANARO PRESSO COMUNE,STS,Emilia-Romagna
CENTRO VACCINALE DI SASSUOLO PRESSO FERRARI SPA,STS,Emilia-Romagna
CENTRO VACCINALE DI VIGNOLA PRESSO ORATORIO  CHIESA PARROCCHIALE DI BRODANO,STS,Emilia-Romagna
CENTRO VACCINALE DI ZOCCA,STS,Emilia-Romagna
CENTRO VACCINALE FIUMALBO,STS,Emilia-Romagna
CENTRO VACCINALE PROVINCIALE RIMINI,STS,Emilia-Romagna
COVID VACCINAZIONE ANTI COVID - CENTRO SOCIALE TORRE DEL PRIMARO ARGENTA,STS,Emilia-Romagna
COVID VACCINAZIONE ANTI COVID - CENTRO VACCINALE CENTO,STS,Emilia-Romagna
COVID VACCINAZIONE ANTI COVID - CITTADELLA DELLO SPORT DI COMACCHIO,STS,Emilia-Romagna
COVID VACCINAZIONE ANTI COVID - FIERA CONGRESSI DI FERRARA,STS,Emilia-Romagna
COVID VACCINAZIONE ANTI COVID - PALAZZETTO CENTRO STUDI DI CODIGORO,STS,Emilia-Romagna
COVID VACCINAZIONE ANTI COVID SEDE PROV - FIERA,STS,Emilia-Romagna
COVID VACCINAZIONE ANTI COVID SEDE PROV - FIERA DI CESENA,STS,Emilia-Romagna
COVID VACCINAZIONE ANTI COVID SEDE PROV - FIERA FORLI',STS,Emilia-Romagna
COVID VACCINAZIONE ANTI COVID SEDE PROV - PALA DE ANDRE,STS,Emilia-Romagna
FONDAZIONE DON CARLO GNOCCHI,RIA,Emilia-Romagna
HUB BONFIGLIOLI VACC.COVID 19,STS,Emilia-Romagna
HUB IMA VACC.COVID 19,STS,Emilia-Romagna
HUB UNISALUTE VACC.COVID 19,STS,Emilia-Romagna
IGIENE PUBBLICA BORGO VAL DI TARO,STS,Emilia-Romagna
IGIENE PUBBLICA BORGO VAL DI TARO DISTACCATO VACCINAZIONI,STS,Emilia-Romagna
IGIENE PUBBLICA FIDENZA,STS,Emilia-Romagna
IGIENE PUBBLICA LANGHIRANO,STS,Emilia-Romagna
IGIENE PUBBLICA PARMA,STS,Emilia-Romagna
INAIL-CENTRO DI VIGORSO,RIA,Emilia-Romagna
LUCE SUL MARE,RIA,Emilia-Romagna
PUNTO ADI VACCINAZIONE ANTI COVID 19 - CASA DELLA SALUTE DI CSPT,STS,Emilia-Romagna
PUNTO ADI VACCINAZIONE ANTI COVID 19 - CASA DELLA SALUTE DI MEDICINA,STS,Emilia-Romagna
PUNTO ADI VACCINAZIONE ANTI COVID 19 - CASA DELLA SALUTE VALLATA DEL SANTERNO,STS,Emilia-Romagna
"PUNTO ADI VACCINAZIONE ANTI COVID 19 - TEATRO ""L. LOLLI""                                            ",STS,Emilia-Romagna
PUNTO UNICO PROVINCIALE VACCINALE ANTI SARS-COV-2,STS,Emilia-Romagna
PUNTO VACCINALE AMBULATORIO OSPEDALE CARPI,STS,Emilia-Romagna
PUNTO VACCINALE AMBULATORIO PRESSO OSPEDALE VIGNOLA,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID C/O OSPEDALE FORLI',STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO - ALFONSINE,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO - BAGNO DI ROMAGNA,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO - BELLARIA-IGEA MARINA,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO - CASOLA VALSENIO,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO - CASTELBOLOGNESE,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO - CATTOLICA,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO - CERVIA,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO - CESENATICO,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO - CONSELICE,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO - FAENZA FIERA,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO - FORLI' VIA COLOMBO,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO - LUGO,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO - MASSA LOMBARDA,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO - MERCATO SARACENO,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO - MODIGLIANA,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO - MORCIANO DI ROMAGNA,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO - NOVAFELTRIA,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO - POGGIO TORRIANA,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO - PREDAPPIO,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO - RICCIONE,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO - ROCCA SAN CASCIANO,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO - RUSSI,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO - SANTA SOFIA,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO - SAVIGNANO,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO - SPV RAVENNA,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO CLINICA MOBILE RAVENNA,STS,Emilia-Romagna
PUNTO VACCINALE ANTICOVID TEMPORANEO CLINICA MOBILE RIMINI,STS,Emilia-Romagna
PUNTO VACCINALE BOBBIO,STS,Emilia-Romagna
PUNTO VACCINALE FIORENZUOLA D'ARDA,STS,Emilia-Romagna
PUNTO VACCINALE PALACASTELLO,STS,Emilia-Romagna
PUNTO VACCINALE PARMA - GAZZETTA DI PARMA,STS,Emilia-Romagna
PUNTO VACCINALE PARMA - HUB AZIENDALE,STS,Emilia-Romagna
PUNTO VACCINALE PARMA - PALA PONTI,STS,Emilia-Romagna
PUNTO VACCINALE PARMA - VIA QUASIMODO,STS,Emilia-Romagna
PUNTO VACCINALE POLIVALENTE,STS,Emilia-Romagna
PUNTO VACCINALE PRESSO AMBULATORIO AZIENDA OSPEDALIERA MODENA,STS,Emilia-Romagna
PUNTO VACCINALE PRESSO AMBULATORIO OSPEDALE BAGGIOVARA,STS,Emilia-Romagna
PUNTO VACCINALE PRESSO AMBULATORIO OSPEDALE DI COMUNITA CASTELFRANCO EMILIA,STS,Emilia-Romagna
PUNTO VACCINALE PRESSO AMBULATORIO OSPEDALE MIRANDOLA,STS,Emilia-Romagna
PUNTO VACCINALE PRESSO AMBULATORIO OSPEDALE PAVULLO,STS,Emilia-Romagna
PUNTO VACCINALE PRESSO AMBULATORIO OSPEDALE SASSUOLO,STS,Emilia-Romagna
PUNTO VACCINALE PRESSO AMBULATORIO PROTETTO OSPEDALE BAGGIOVARA,STS,Emilia-Romagna
PUNTO VACCINALE PRESSO AZIENDA OSPEDALIERA POLICLINICO,STS,Emilia-Romagna
PUNTO VACCINALE PRESSO CENTRO ANTIDIABETICO DI CARPI,STS,Emilia-Romagna
PUNTO VACCINALE PRESSO CENTRO ANTIDIABETICO DI CASTELFRANCO EMILIA,STS,Emilia-Romagna
PUNTO VACCINALE PRESSO CENTRO ANTIDIABETICO DI MIRANDOLA,STS,Emilia-Romagna
PUNTO VACCINALE PRESSO CENTRO ANTIDIABETICO DI MODENA,STS,Emilia-Romagna
PUNTO VACCINALE PRESSO CENTRO ANTIDIABETICO DI PAVULLO,STS,Emilia-Romagna
PUNTO VACCINALE PRESSO CENTRO ANTIDIABETICO DI SASSUOLO,STS,Emilia-Romagna
PUNTO VACCINALE PRESSO CENTRO ANTIDIABETICO DI VIGNOLA,STS,Emilia-Romagna
PUNTO VACCINALE PRESSO DIALISI CASA DELLA SALUTE DI CASTELFRANCO EMILIA,STS,Emilia-Romagna
PUNTO VACCINALE PRESSO DIALISI OSPEDALE DI CARPI,STS,Emilia-Romagna
PUNTO VACCINALE PRESSO DIALISI OSPEDALE DI MIRANDOLA,STS,Emilia-Romagna
PUNTO VACCINALE PRESSO DIALISI OSPEDALE DI PAVULLO,STS,Emilia-Romagna
PUNTO VACCINALE PRESSO DIALISI OSPEDALE DI VIGNOLA,STS,Emilia-Romagna
PUNTO VACCINALE TERRITORIALE - ALTA VAL NURE,STS,Emilia-Romagna
PUNTO VACCINALE TERRITORIALE - LEVANTE,STS,Emilia-Romagna
PUNTO VACCINALE TERRITORIALE ARSENALE,STS,Emilia-Romagna
PUNTO VACCINALE TERRITORIALE PIACENZA EXPO,STS,Emilia-Romagna
PUNTO VACCINAZIONE ANTI COVID 19 - AUDITORIUM EX CHIESA OSSERVANZA,STS,Emilia-Romagna
SERVIZIO PROFILASSI MALATTIE INFETTIVE,STS,Emilia-Romagna
VACCINAZIONE COVID - AMBULATORIO PERCORSO PROTETTO  - REGGIO EMILIA,STS,Emilia-Romagna
VACCINAZIONE COVID - EX OSPEDALE LAZZARO SPALLANZANI,STS,Emilia-Romagna
VACCINAZIONE COVID C/O DISTRETTO DI CORREGGIO,STS,Emilia-Romagna
VACCINAZIONE COVID C/O FIERA DI SCANDIANO,STS,Emilia-Romagna
VACCINAZIONE COVID C/O OSPEDALE DI CASTELNOVO NE' MONTI,STS,Emilia-Romagna
VACCINAZIONE COVID C/O OSPEDALE DI GUASTALLA,STS,Emilia-Romagna
VACCINAZIONE COVID C/O OSPEDALE DI MONTECCHIO,STS,Emilia-Romagna
VACCINAZIONI COVID FIERA CUP,STS,Emilia-Romagna
VILLA SALUS,RIA,Emilia-Romagna
ASSOCIAZ. 'LA NOSTRA FAMIGLIA',RIA,Friuli-Venezia Giulia
BAMBINI E AUTISMO,RIA,Friuli-Venezia Giulia
CENTRO PROGETTO SPILIMBERGO,RIA,Friuli-Venezia Giulia
CENTRO VACCINALE ANTI COVID 19  GORIZIA FIERA,STS,Friuli-Venezia Giulia
CENTRO VACCINALE ANTI COVID 19 BURLO,STS,Friuli-Venezia Giulia
CENTRO VACCINALE ANTI COVID 19 CENTRO ANZIANI MONFALCONE,STS,Friuli-Venezia Giulia
CENTRO VACCINALE ANTI COVID 19 DIP PREVENZIONE GORIZIA,STS,Friuli-Venezia Giulia
CENTRO VACCINALE ANTI COVID 19 DIP PREVENZIONE SAN GIOVANNI,STS,Friuli-Venezia Giulia
CENTRO VACCINALE ANTI COVID 19 MOLO IV,STS,Friuli-Venezia Giulia
CENTRO VACCINALE ANTI COVID 19 PALESTRA COMUNALE AURISINA,STS,Friuli-Venezia Giulia
CENTRO VACCINALE ANTI COVID 19 PALESTRA COMUNALE MUGGIA,STS,Friuli-Venezia Giulia
CENTRO VACCINALE ANTI COVID 19 PORTO FRANCO TRIESTE,STS,Friuli-Venezia Giulia
CENTRO VACCINALE ANTI COVID 19 RONCHI DEI LEGIONARI,STS,Friuli-Venezia Giulia
Centro vaccinale di Maniago - Ex IPSIA,STS,Friuli-Venezia Giulia
CITTADELLA DELLA SALUTE,STS,Friuli-Venezia Giulia
COMUNITA' DI RINASCITA,RIA,Friuli-Venezia Giulia
COMUNITA' PIERGIORGIO - ONLUS,RIA,Friuli-Venezia Giulia
Eutonia Sanità e Salute,RIA,Friuli-Venezia Giulia
FRIULI RIABILITAZIONE s.r.l.,RIA,Friuli-Venezia Giulia
IST.MED.PEDAG.'S.MARIA COLLI',RIA,Friuli-Venezia Giulia
LA NOSTRA FAMIGLIA,RIA,Friuli-Venezia Giulia
OSPIZIO MARINO DI GRADO,RIA,Friuli-Venezia Giulia
Punto vaccinale c/o  Residenza Polifunzionale di Campeglio,STS,Friuli-Venezia Giulia
Punto vaccinale c/o Casa di accoglienza del Clero,STS,Friuli-Venezia Giulia
Punto vaccinale c/o Comunità alloggio Associazione Anziani,STS,Friuli-Venezia Giulia
Punto vaccinale c/o Comunità alloggio di Attimis,STS,Friuli-Venezia Giulia
Punto vaccinale c/o Comunità alloggio di Lusevera  - Villanova 110,STS,Friuli-Venezia Giulia
Punto vaccinale c/o Comunità alloggio di Lusevera - Pradielis 11 e 11/A,STS,Friuli-Venezia Giulia
Punto vaccinale c/o I Faggi,STS,Friuli-Venezia Giulia
Punto vaccinale c/o La Villa Rosa,STS,Friuli-Venezia Giulia
Punto vaccinale c/o Santa Maria degli Angeli,STS,Friuli-Venezia Giulia
Punto vaccinale c/o Zaffiro di Rivignano,STS,Friuli-Venezia Giulia
PUNTO VACCINALE COVID CAP MORTEGLIANO,STS,Friuli-Venezia Giulia
PUNTO VACCINALE COVID CAP ZUGLIANO,STS,Friuli-Venezia Giulia
PUNTO VACCINALE COVID CENTRO COMM.LE LE MANIFATTURE GEMONA,STS,Friuli-Venezia Giulia
PUNTO VACCINALE COVID CIVIDALE PALAZZETTO DELLO SPORT,STS,Friuli-Venezia Giulia
PUNTO VACCINALE COVID CODROIPO TENSOSTRUTTURA,STS,Friuli-Venezia Giulia
PUNTO VACCINALE COVID ENTE FIERA UDINE,STS,Friuli-Venezia Giulia
PUNTO VACCINALE COVID LATISANA PALESTRA SCUOLA,STS,Friuli-Venezia Giulia
PUNTO VACCINALE COVID MANZANO PALAZZETTO DELLO SPORT,STS,Friuli-Venezia Giulia
PUNTO VACCINALE COVID MODUS TENNIS CLUB TARCENTO,STS,Friuli-Venezia Giulia
PUNTO VACCINALE COVID PALASPORT LATISANOTTA,STS,Friuli-Venezia Giulia
PUNTO VACCINALE COVID PALAZZETTO DELLO SPORT TARVISIO,STS,Friuli-Venezia Giulia
PUNTO VACCINALE COVID PALESTRA LIGNANO SABBIADORO,STS,Friuli-Venezia Giulia
PUNTO VACCINALE COVID STADIO FRIULI,STS,Friuli-Venezia Giulia
PUNTO VACCINALE COVID TOLMEZZO PALATENNIS,STS,Friuli-Venezia Giulia
PUNTO VACCINALE COVID UNIVERSITA' DI UDINE - POLO SCIENTIFICO DEI RIZZI,STS,Friuli-Venezia Giulia
PUNTO VACCINALE COVID VILLA MANIN,STS,Friuli-Venezia Giulia
STUDIO FIS. BUSETTO & PONTE,RIA,Friuli-Venezia Giulia
UILDM sezione di Pordenone,RIA,Friuli-Venezia Giulia
' SAN RAFFAELE '  CASSINO,RIA,Lazio
""" CENTRO BENESSERE srl """,RIA,Lazio
A.I.R.R.I.,RIA,Lazio
A.I.R.R.I. BRACCIANO,RIA,Lazio
A.L.M.,RIA,Lazio
A.L.M. - CARLO LODI,RIA,Lazio
ADM - GRUPPO AUDIOMEDICAL SRL,RIA,Lazio
AIRRI CIAMPINO SRL,RIA,Lazio
AIRRI CLODIO,RIA,Lazio
AIRRI MEDICAL,RIA,Lazio
AIRRI MEDICAL,RIA,Lazio
ALM ASS. LAZIALE MOTULESI,RIA,Lazio
ANFAS ROMA Onlus,RIA,Lazio
ANFAS ROMA Onlus,RIA,Lazio
AR SANA 2,RIA,Lazio
ARGOS centro di riabilitazione,RIA,Lazio
ARS SANA,RIA,Lazio
ASS. ISTITUTO S. CECILIA,RIA,Lazio
ASSOC. NE SCUOLA VIVA ONLUS,RIA,Lazio
ASSOHANDICAP ART. 26,RIA,Lazio
Buon Lavoro Piccoli,RIA,Lazio
C. C. VILLA SANDRA,RIA,Lazio
C. RIAB.PSICOMOTORIA PADRE PIO,RIA,Lazio
C.M.P.H.,RIA,Lazio
C.M.P.H. - VIA LIVORNO,RIA,Lazio
C.O.E.S Onlus,RIA,Lazio
C.R.C. BALBUZIE,RIA,Lazio
CASA DI CURA SANTA RITA DA CAS,RIA,Lazio
CASA DI CURA VILLA FULVIA,RIA,Lazio
CASA GIOCOSA,RIA,Lazio
CASA LOIC,RIA,Lazio
'CASALETTO' Anffas Roma Onlus,RIA,Lazio
Cen. Neuro. Arcobaleno,RIA,Lazio
CENTR RIABILITATIVO ECASS,RIA,Lazio
CENTRO 'A. BOGGI',RIA,Lazio
CENTRO ADELPHI,RIA,Lazio
Centro Amb Mondo Riabilitazion,RIA,Lazio
Centro Amb.le-Domic.re UNISAN,RIA,Lazio
CENTRO AMBULATORIALE,RIA,Lazio
CENTRO BAMBU',RIA,Lazio
CENTRO DI AUDIOFONOLOGOPEDIA,RIA,Lazio
CENTRO DI RIAB.LA VALLE,RIA,Lazio
CENTRO DIAGNOSTICO ARCE,RIA,Lazio
Centro Educazione Motoria CEM,RIA,Lazio
CENTRO EDUCAZIONE MOTORIA -CEM,RIA,Lazio
Centro primula ABBVIE Aprilia,STS,Lazio
CENTRO PRIMULA ASL ROMA 1 TERMINI,STS,Lazio
CENTRO PRIMULA ASL ROMA1 COMPRENSORIO S.MARIA DELLA PIETA' PADIGLIONE 90,STS,Lazio
centro primula centro Itaca,STS,Lazio
centro Primula Latina Expo,STS,Lazio
CENTRO REGIONALE S.ALESSIO,RIA,Lazio
CENTRO RIA H RIABILITAZIONE SR,RIA,Lazio
Centro riab. Poggio Mirteto,RIA,Lazio
CENTRO RIAB. SANTA ROSA,RIA,Lazio
CENTRO RIAB.NE S. RAFFAELE,RIA,Lazio
CENTRO RIABILITATIVO ECASS,RIA,Lazio
CENTRO RIABILITATIVO ECASS,RIA,Lazio
CENTRO RIABILITATIVO ECASS,RIA,Lazio
CENTRO RIABILITATIVO ECASS,RIA,Lazio
CENTRO RIABILITATIVO ECASS,RIA,Lazio
CENTRO RIABILITAZIONE AL PARCO,RIA,Lazio
Centro riabilitazione Dahlia,RIA,Lazio
CENTRO S. M. DELLA PROVVIDENZA,RIA,Lazio
CENTRO SPERIMENTALE PER L'AUTI,RIA,Lazio
CENTRO TANGRAM,RIA,Lazio
"Centro vaccinale ""la vela"" Policlinico Tor Vergata",STS,Lazio
Centro Vaccinale anti-covid19 della Sabina AMAZON,STS,Lazio
CENTRO VACCINALE COVID 19 ASL ROMA 1 - 'ACEA - OSTIENSE',STS,Lazio
CENTRO VACCINALE COVID 19 ASL ROMA 1 - 'PORTE DI ROMA',STS,Lazio
comunità capodarco,RIA,Lazio
COMUNITA` IL CHICCO,RIA,Lazio
COOP ESPERANTO,RIA,Lazio
COOPERATIVA C.A.R.,RIA,Lazio
CRN  = CENTRO RIAB. NEUROMOTOR,RIA,Lazio
DIDASCO COOP. SOCIALE A.R.L.,RIA,Lazio
DON ORIONE - CENTRO MUTILATINI,RIA,Lazio
ERRE-D SRL LATINA,RIA,Lazio
EX BOSI CENTRO VAC,STS,Lazio
FONDAZ. DON CARLO GNOCCHI,RIA,Lazio
FONDAZIONE PICCOLO RIFUGIO,RIA,Lazio
FONDAZIONE SANTA LUCIA IRCCS,RIA,Lazio
FONDAZIONE UILDM LAZIO onlus,RIA,Lazio
Fondaziozione Roma Litorale On,RIA,Lazio
FUORI DAL TUNNEL,RIA,Lazio
Giomi RSA Laz- Centro Armonia,RIA,Lazio
GLI ANNALI,RIA,Lazio
HUB VACCINALE COMUNITA' DI SANT'EGIDIO,STS,Lazio
I.M.P.P.I.T.  INFANZIA TARDIVA,RIA,Lazio
INI DIVISIONE VILLA DANTE,RIA,Lazio
IST FIGLIE S MARIA PROVVIDENZA,RIA,Lazio
IST.MED. PSICO PED.SACRO CUORE,RIA,Lazio
ISTITUTO CALAMATTA,RIA,Lazio
ISTITUTO DI ORTOFONOLOGIA,RIA,Lazio
ISTITUTO DI ORTOFONOLOGIA,RIA,Lazio
ISTITUTO DI ORTOFONOLOGIA,RIA,Lazio
ISTITUTO FILIPPO SMALDONE,RIA,Lazio
ISTITUTO LEONARDA VACCARI,RIA,Lazio
ISTITUTO PIA CASA AMBROSINI,RIA,Lazio
LA NOSTRA SCUOLA,RIA,Lazio
MEDICAL SPURI S.R.L.,RIA,Lazio
MONDO RIABILITAZIONE SRL,RIA,Lazio
Nomentana Hospital srl,RIA,Lazio
OPERA DON GUANELLA,RIA,Lazio
OPERA SANTE DE SANCTIS,RIA,Lazio
OPERA SANTE DE SANCTIS,RIA,Lazio
OPERA SANTE DE SANCTIS-VIA POL,RIA,Lazio
PAROLE IN MOVIMENTO,RIA,Lazio
PIANETA RIABILITAZIONE,RIA,Lazio
poligest casa cura v. Querce,RIA,Lazio
PRESIDIO DI RIABILITAZIONE OSA,RIA,Lazio
Presidio di Via Dionisio,RIA,Lazio
Presidio Filippo Turati,RIA,Lazio
PROGETTO AMICO,RIA,Lazio
PUNTO DI SOMMINISTRAZIONE VACCINALE PRESSO CINECITTA' STUDIOS,STS,Lazio
Punto Vaccini anti Covid-19 Fiumicino,STS,Lazio
RAGGIO DI SOLE,RIA,Lazio
RIFI SRL,RIA,Lazio
S.MARIA DEL PRATO,RIA,Lazio
Sa.Ni. Children S.r.l.,RIA,Lazio
SAN GIOVANNI DI DIO,RIA,Lazio
Soc. Coop. Sociale Nemo Onlus,RIA,Lazio
STRUTT. SEMI-RES. A. BOGGI,RIA,Lazio
STUDIO MEDICO SAN GIORGIO,RIA,Lazio
TE.RI,RIA,Lazio
VACLAV VOJTA,RIA,Lazio
VILLA ALBA E IST. CURE FISICHE,RIA,Lazio
VILLA ALBA SRL,RIA,Lazio
VILLA ARDEATINA SRL,RIA,Lazio
VILLA BUON RESPIRO,RIA,Lazio
VILLA IMMACOLATA,RIA,Lazio
VILLA SANTA MARGHERITA,RIA,Lazio
VILLAGGIO EUGENIO LITTA ART.26,RIA,Lazio
A.I.A.S. VILLA SANGINETTI,RIA,Liguria
A.N.F.F.AS - ALBENGA,RIA,Liguria
ALBATROS SRL  C. GIOVANNA D'A,RIA,Liguria
AMB. GUARDIA DI FINANZA CAVOUR,STS,Liguria
AMBULATORIO MONTEBRUNO,STS,Liguria
Ambulatorio presso Polizia di stato,STS,Liguria
Ambulatorio Riab. ARCIPELAGO,RIA,Liguria
AMBULATORIO VACCINALE - CARCERE PONTEDECIMO,STS,Liguria
AMBULATORIO VACCINALE - CASERMA POLIZIA BOLZANETO,STS,Liguria
AMBULATORIO VACCINALE - LILT (Lega Italiana lotta contro i tumori),STS,Liguria
AMBULATORIO VACCINALE - PIEVE LIGURE ALTA,STS,Liguria
AMBULATORIO VACCINALE COVID CEPARANA,STS,Liguria
AMBULATORIO VACCINALE COVID FOLLO,STS,Liguria
AMBULATORIO VACCINALE COVID LA SPEZIA,STS,Liguria
Ambulatorio vaccinale presso Albergo dei poveri,STS,Liguria
ambulatorio vaccinazioni presso Villa Serena,STS,Liguria
ANFFAS - Pres. PARINI,RIA,Liguria
ANFFAS - Pres. Rosa GATTORNO,RIA,Liguria
Anffas - Presidio CESINO,RIA,Liguria
ANFFAS - Presidio CORONATA,RIA,Liguria
ANFFAS - Presidio FALCHETTI,RIA,Liguria
Anffas - Presidio PISACANE,RIA,Liguria
ANFFAS - VILLA GALLETTO,RIA,Liguria
ANFFAS -Dopo di noi-V. Cordano,RIA,Liguria
ANFFAS ONLUS TIGULLIO OVEST,RIA,Liguria
ASL1 - DISTR.1 BORDIGHERA COVID MMG ,STS,Liguria
ASL1 - DISTR.2 SANREMESE COVID MMG ,STS,Liguria
ASL1 - DISTR.3 IMPERIESE COVID MMG ,STS,Liguria
Ass. MAI SOLI Onlus,RIA,Liguria
ASS.TIGULLIO EST ANFFAS,RIA,Liguria
AVIS COMUNALE RONCO SCRIVIA,STS,Liguria
BADALUCCO - CENTRO VACCINAZIONE COVID,STS,Liguria
BAJARDO - CENTRO VACCINAZIONE COVID,STS,Liguria
BOGGIANO PICO - Don Orione,RIA,Liguria
BOGLIASCO Croce Verde,STS,Liguria
C. Diurno Disab. V. Gramsci,RIA,Liguria
C. terapeutico diurno Gaggiola,RIA,Liguria
C.D. IL GIRASOLE,RIA,Liguria
C.R. VITTORIA GIORNI - COVID,STS,Liguria
C.R.C.T.  IL GABBIANO-SEGESTA,RIA,Liguria
CAMOGLI Croce Rossa Italiana,STS,Liguria
CAMPOROSSO - CENTRO POLIVALENTE G.FALCONE,STS,Liguria
CARES ONLUS,RIA,Liguria
Casa Aperta Il CARPANEDO,RIA,Liguria
CASA DEL SANTO BAMBINO - RESID,RIA,Liguria
CASA DEL SANTO BAMBINO-Semires,RIA,Liguria
CASA DELLA SALUTE - MULTEDO,STS,Liguria
CASA DELLA SALUTE - Sampierdarena Torre MSC,STS,Liguria
CASA DI RIPOSO SAN GIUSEPPE - COVID,STS,Liguria
CD Riabilitativo ARCIPELAGO,RIA,Liguria
CD Riabilitativo ARCOBALENO,RIA,Liguria
CENTRO A.I.A.S. SAVONA,RIA,Liguria
Centro di Riabilitazione srl,RIA,Liguria
Centro REDULCO,RIA,Liguria
Centro Resid. GERMANA COSTA,RIA,Liguria
Centro Residenz. LA MAGNOLIA,RIA,Liguria
CENTRO RIAB. 'LUIGI STOPPANI',RIA,Liguria
Centro Riab. Res. L'ALTALENA,RIA,Liguria
Centro Riab. UILDM Genova,RIA,Liguria
Centro Socio Sanit Sacro Cuore,RIA,Liguria
CENTRO VACCINALE,STS,Liguria
CENTRO VACCINALE,STS,Liguria
CENTRO VACCINALE,STS,Liguria
CENTRO VACCINALE,STS,Liguria
CENTRO VACCINALE,STS,Liguria
CENTRO VACCINALE AUDITORIUM,STS,Liguria
CENTRO VACCINALE CORSO DANTE,STS,Liguria
CENTRO VACCINALE MED. PENITENZIARIA,STS,Liguria
CENTRO VACCINALE STELMILIT,STS,Liguria
CENTRO VACCINALE VIALE DANTE,STS,Liguria
CEPIM - Semiresidenziale,RIA,Liguria
CEPIM - Volta,RIA,Liguria
CEPIM l'Appartamento cent down,RIA,Liguria
CERIANA - CENTRO VACCINAZIONE COVID ,STS,Liguria
Chiossone-Car Minori Gli Alber,RIA,Liguria
CHIUSAVECCHIA - CENTRO VACCINAZIONE COVID,STS,Liguria
CODESS SOCIALE VADA SABATIA,RIA,Liguria
COMUNE ROVEGNO,STS,Liguria
CONSORZIO COCIV - STANZA VACCINALE PER I PROPRI DIPENDENTI,STS,Liguria
CROCE VERDE CASELLA,STS,Liguria
CRSD Disabili (ex Rep.Speciale,RIA,Liguria
DIANO MARINA - CENTRO VACCINAZIONE COVID,STS,Liguria
DIREZIONE ASL3 LIGURIA,STS,Liguria
DISTRETTO 1 - VACCINAZIONE DOMICILIARE COVID,STS,Liguria
DISTRETTO 2 - VACCINAZIONE DOMICILIARE COVID,STS,Liguria
DISTRETTO 3 - VACCINAZIONE DOMICILIARE COVID,STS,Liguria
EX FERRIERA FORMENTO ROSSIGLIONE,STS,Liguria
FAMIGLIA MORESCO - Don Orione,RIA,Liguria
FONDAZIONE SACRA FAMIGLIA,RIA,Liguria
FONDAZIONE SACRA FAMIGLIA,RIA,Liguria
FONDAZIONE SACRA FAMIGLIA,RIA,Liguria
GISAL CEAD Casa Marta,RIA,Liguria
HITACHI RAIL STS Genova Hub Vaccinale,STS,Liguria
Hub Sala Chiamata,STS,Liguria
